0,1,2
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.0
0,19,0.0
0,20,0.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
0,25,0.0
0,26,0.0
0,27,0.0
0,28,0.0
0,29,0.0
0,30,0.0
0,31,0.0
0,32,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
2,30,0.0
2,31,0.0
2,32,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,0.0
3,29,0.0
3,30,0.0
3,31,0.0
3,32,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,208.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,207.0
4,21,208.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
4,27,0.0
4,28,0.0
4,29,0.0
4,30,0.0
4,31,0.0
4,32,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,210.0
5,8,205.0
5,9,0.0
5,10,207.0
5,11,205.0
5,12,205.0
5,13,205.0
5,14,199.0
5,15,0.0
5,16,207.0
5,17,0.0
5,18,0.0
5,19,204.0
5,20,206.0
5,21,207.0
5,22,206.0
5,23,0.0
5,24,216.0
5,25,216.0
5,26,0.0
5,27,0.0
5,28,0.0
5,29,0.0
5,30,0.0
5,31,0.0
5,32,0.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,212.0
6,7,207.0
6,8,205.0
6,9,205.0
6,10,205.0
6,11,205.0
6,12,205.0
6,13,202.0
6,14,198.0
6,15,197.0
6,16,203.0
6,17,204.0
6,18,202.0
6,19,201.0
6,20,198.0
6,21,203.0
6,22,206.0
6,23,205.0
6,24,216.0
6,25,213.0
6,26,213.0
6,27,0.0
6,28,0.0
6,29,0.0
6,30,0.0
6,31,0.0
6,32,0.0
7,0,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,208.0
7,7,206.0
7,8,204.0
7,9,200.0
7,10,205.0
7,11,206.0
7,12,203.0
7,13,198.0
7,14,199.0
7,15,199.0
7,16,196.0
7,17,197.0
7,18,199.0
7,19,201.0
7,20,202.0
7,21,202.0
7,22,201.0
7,23,208.0
7,24,0.0
7,25,211.0
7,26,213.0
7,27,0.0
7,28,0.0
7,29,0.0
7,30,0.0
7,31,0.0
7,32,0.0
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,201.0
8,8,198.0
8,9,197.0
8,10,0.0
8,11,0.0
8,12,201.0
8,13,199.0
8,14,196.0
8,15,198.0
8,16,198.0
8,17,198.0
8,18,199.0
8,19,199.0
8,20,201.0
8,21,203.0
8,22,205.0
8,23,203.0
8,24,199.0
8,25,207.0
8,26,205.0
8,27,0.0
8,28,0.0
8,29,0.0
8,30,0.0
8,31,0.0
8,32,0.0
9,0,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,203.0
9,8,200.0
9,9,198.0
9,10,0.0
9,11,196.0
9,12,196.0
9,13,196.0
9,14,197.0
9,15,197.0
9,16,201.0
9,17,201.0
9,18,200.0
9,19,201.0
9,20,201.0
9,21,204.0
9,22,204.0
9,23,204.0
9,24,201.0
9,25,206.0
9,26,201.0
9,27,206.0
9,28,0.0
9,29,0.0
9,30,0.0
9,31,0.0
9,32,0.0
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,204.0
10,5,0.0
10,6,0.0
10,7,202.0
10,8,199.0
10,9,198.0
10,10,198.0
10,11,197.0
10,12,195.0
10,13,201.0
10,14,198.0
10,15,199.0
10,16,202.0
10,17,202.0
10,18,202.0
10,19,201.0
10,20,204.0
10,21,205.0
10,22,204.0
10,23,200.0
10,24,204.0
10,25,206.0
10,26,0.0
10,27,0.0
10,28,0.0
10,29,0.0
10,30,0.0
10,31,0.0
10,32,0.0
11,0,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,205.0
11,5,0.0
11,6,0.0
11,7,202.0
11,8,198.0
11,9,196.0
11,10,198.0
11,11,198.0
11,12,199.0
11,13,196.0
11,14,192.0
11,15,202.0
11,16,203.0
11,17,203.0
11,18,204.0
11,19,206.0
11,20,204.0
11,21,206.0
11,22,205.0
11,23,205.0
11,24,206.0
11,25,207.0
11,26,0.0
11,27,0.0
11,28,0.0
11,29,0.0
11,30,0.0
11,31,0.0
11,32,0.0
12,0,253.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,206.0
12,6,210.0
12,7,203.0
12,8,201.0
12,9,194.0
12,10,190.0
12,11,194.0
12,12,0.0
12,13,195.0
12,14,196.0
12,15,200.0
12,16,203.0
12,17,202.0
12,18,0.0
12,19,208.0
12,20,208.0
12,21,207.0
12,22,209.0
12,23,210.0
12,24,0.0
12,25,0.0
12,26,0.0
12,27,0.0
12,28,0.0
12,29,0.0
12,30,0.0
12,31,0.0
12,32,0.0
13,0,248.0
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,209.0
13,7,209.0
13,8,202.0
13,9,0.0
13,10,194.0
13,11,196.0
13,12,0.0
13,13,0.0
13,14,199.0
13,15,199.0
13,16,199.0
13,17,203.0
13,18,206.0
13,19,208.0
13,20,208.0
13,21,207.0
13,22,208.0
13,23,211.0
13,24,0.0
13,25,212.0
13,26,0.0
13,27,0.0
13,28,0.0
13,29,0.0
13,30,0.0
13,31,0.0
13,32,0.0
14,0,0.0
14,1,0.0
14,2,0.0
14,3,0.0
14,4,0.0
14,5,221.0
14,6,0.0
14,7,210.0
14,8,0.0
14,9,0.0
14,10,210.0
14,11,207.0
14,12,208.0
14,13,208.0
14,14,203.0
14,15,201.0
14,16,0.0
