0,1,2
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.0
0,19,0.0
0,20,0.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
0,25,0.0
0,26,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,198.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,220.0
2,7,222.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,207.0
3,13,206.0
3,14,203.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,209.0
4,13,205.0
4,14,204.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,205.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,207.0
5,7,0.0
5,8,207.0
5,9,204.0
5,10,0.0
5,11,204.0
5,12,205.0
5,13,206.0
5,14,205.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
5,25,0.0
5,26,0.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,207.0
6,6,206.0
6,7,207.0
6,8,203.0
6,9,204.0
6,10,0.0
6,11,203.0
6,12,207.0
6,13,208.0
6,14,207.0
6,15,209.0
6,16,209.0
6,17,0.0
6,18,199.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
6,24,0.0
6,25,0.0
6,26,0.0
7,0,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,205.0
7,5,205.0
7,6,208.0
7,7,199.0
7,8,198.0
7,9,207.0
7,10,205.0
7,11,205.0
7,12,207.0
7,13,208.0
7,14,209.0
7,15,210.0
7,16,210.0
7,17,203.0
7,18,202.0
7,19,0.0
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
7,24,0.0
7,25,0.0
7,26,0.0
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,208.0
8,6,207.0
8,7,0.0
8,8,210.0
8,9,210.0
8,10,208.0
8,11,206.0
8,12,207.0
8,13,209.0
8,14,209.0
8,15,211.0
8,16,204.0
8,17,203.0
8,18,202.0
8,19,207.0
8,20,209.0
8,21,0.0
8,22,0.0
8,23,0.0
8,24,0.0
8,25,0.0
8,26,0.0
9,0,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,210.0
9,6,210.0
9,7,0.0
9,8,209.0
9,9,206.0
9,10,205.0
9,11,208.0
9,12,212.0
9,13,208.0
9,14,208.0
9,15,0.0
9,16,204.0
9,17,201.0
9,18,202.0
9,19,204.0
9,20,212.0
9,21,207.0
9,22,0.0
9,23,0.0
9,24,0.0
9,25,0.0
9,26,0.0
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,220.0
10,5,211.0
10,6,209.0
10,7,205.0
10,8,206.0
10,9,205.0
10,10,205.0
10,11,208.0
10,12,214.0
10,13,208.0
10,14,206.0
10,15,208.0
10,16,207.0
10,17,0.0
10,18,203.0
10,19,205.0
10,20,205.0
10,21,205.0
10,22,206.0
10,23,0.0
10,24,0.0
10,25,0.0
10,26,0.0
11,0,0.0
11,1,0.0
11,2,0.0
11,3,222.0
11,4,218.0
11,5,210.0
11,6,209.0
11,7,208.0
11,8,204.0
11,9,211.0
11,10,211.0
11,11,211.0
11,12,208.0
11,13,209.0
11,14,209.0
11,15,210.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,206.0
11,21,204.0
11,22,211.0
11,23,0.0
11,24,0.0
11,25,0.0
11,26,0.0
12,0,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,214.0
12,6,211.0
12,7,210.0
12,8,210.0
12,9,210.0
12,10,212.0
12,11,208.0
12,12,205.0
12,13,207.0
12,14,212.0
12,15,211.0
12,16,211.0
12,17,0.0
12,18,0.0
12,19,0.0
12,20,0.0
12,21,0.0
12,22,0.0
12,23,0.0
12,24,0.0
12,25,0.0
12,26,0.0
13,0,0.0
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,219.0
13,6,215.0
13,7,212.0
13,8,209.0
13,9,209.0
13,10,208.0
13,11,206.0
13,12,205.0
13,13,201.0
13,14,0.0
13,15,0.0
13,16,212.0
13,17,212.0
13,18,0.0
13,19,0.0
13,20,0.0
13,21,208.0
13,22,210.0
13,23,0.0
13,24,0.0
13,25,0.0
13,26,0.0
14,0,0.0
14,1,0.0
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.0
14,6,0.0
14,7,0.0
14,8,211.0
14,9,209.0
14,10,209.0
14,11,207.0
14,12,202.0
14,13,205.0
14,14,201.0
14,15,0.0
14,16,213.0
14,17,212.0
14,18,0.0
14,19,0.0
14,20,0.0
14,21,0.0
14,22,0.0
14,23,0.0
14,24,0.0
14,25,0.0
14,26,0.0
15,0,0.0
15,1,0.0
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,196.0
15,7,197.0
15,8,0.0
15,9,195.0
15,10,191.0
15,11,191.0
15,12,190.0
15,13,188.0
15,14,197.0
15,15,0.0
15,16,0.0
15,17,0.0
15,18,195.0
15,19,196.0
15,20,0.0
15,21,0.0
15,22,0.0
15,23,0.0
15,24,0.0
15,25,0.0
15,26,0.0
16,0,0.0
16,1,0.0
16,2,0.0
16,3,0.0
16,4,0.0
16,5,198.0
16,6,196.0
16,7,196.0
16,8,195.0
16,9,194.0
16,10,187.0
16,11,190.0
16,12,191.0
16,13,189.0
16,14,0.0
16,15,189.0
16,16,189.0
16,17,0.0
16,18,195.0
16,19,195.0
16,20,195.0
16,21,195.0
16,22,0.0
16,23,0.0
16,24,0.0
16,25,0.0
16,26,0.0
17,0,0.0
17,1,0.0
17,2,0.0
17,3,0.0
17,4,0.0
17,5,199.0
17,6,198.0
17,7,194.0
17,8,192.0
17,9,189.0
17,10,189.0
17,11,191.0
17,12,192.0
17,13,188.0
17,14,0.0
17,15,185.0
17,16,186.0
17,17,0.0
17,18,0.0
17,19,193.0
