0,1,2
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.0
0,19,0.0
0,20,0.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,214.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,201.0
3,12,200.0
3,13,200.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,209.0
4,8,205.0
4,9,200.0
4,10,203.0
4,11,201.0
4,12,202.0
4,13,205.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,192.0
5,5,0.0
5,6,209.0
5,7,206.0
5,8,203.0
5,9,202.0
5,10,202.0
5,11,203.0
5,12,202.0
5,13,203.0
5,14,209.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,203.0
6,6,208.0
6,7,199.0
6,8,202.0
6,9,205.0
6,10,206.0
6,11,205.0
6,12,203.0
6,13,201.0
6,14,211.0
6,15,211.0
6,16,0.0
6,17,201.0
6,18,198.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
6,24,0.0
7,0,0.0
7,1,216.0
7,2,0.0
7,3,0.0
7,4,200.0
7,5,202.0
7,6,200.0
7,7,199.0
7,8,200.0
7,9,209.0
7,10,206.0
7,11,205.0
7,12,211.0
7,13,211.0
7,14,212.0
7,15,212.0
7,16,0.0
7,17,196.0
7,18,200.0
7,19,201.0
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
7,24,0.0
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,201.0
8,5,203.0
8,6,204.0
8,7,204.0
8,8,209.0
8,9,210.0
8,10,204.0
8,11,206.0
8,12,212.0
8,13,214.0
8,14,213.0
8,15,209.0
8,16,0.0
8,17,197.0
8,18,202.0
8,19,203.0
8,20,0.0
8,21,0.0
8,22,0.0
8,23,0.0
8,24,0.0
9,0,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,206.0
9,6,207.0
9,7,208.0
9,8,211.0
9,9,211.0
9,10,208.0
9,11,209.0
9,12,210.0
9,13,211.0
9,14,212.0
9,15,214.0
9,16,219.0
9,17,0.0
9,18,0.0
9,19,206.0
9,20,206.0
9,21,208.0
9,22,0.0
9,23,0.0
9,24,0.0
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,211.0
10,5,209.0
10,6,208.0
10,7,209.0
10,8,207.0
10,9,209.0
10,10,210.0
10,11,210.0
10,12,210.0
10,13,209.0
10,14,0.0
10,15,213.0
10,16,214.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,206.0
10,21,207.0
10,22,0.0
10,23,0.0
10,24,0.0
11,0,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,209.0
11,5,209.0
11,6,209.0
11,7,208.0
11,8,206.0
11,9,206.0
11,10,207.0
11,11,208.0
11,12,210.0
11,13,206.0
11,14,209.0
11,15,209.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
11,21,0.0
11,22,210.0
11,23,0.0
11,24,0.0
12,0,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,209.0
12,5,208.0
12,6,209.0
12,7,210.0
12,8,207.0
12,9,206.0
12,10,207.0
12,11,207.0
12,12,207.0
12,13,210.0
12,14,208.0
12,15,208.0
12,16,0.0
12,17,204.0
12,18,0.0
12,19,0.0
12,20,217.0
12,21,215.0
12,22,215.0
12,23,0.0
12,24,0.0
13,0,0.0
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,206.0
13,7,209.0
13,8,210.0
13,9,208.0
13,10,211.0
13,11,207.0
13,12,206.0
13,13,208.0
13,14,0.0
13,15,0.0
13,16,0.0
13,17,0.0
13,18,0.0
13,19,0.0
13,20,215.0
13,21,218.0
13,22,221.0
13,23,0.0
13,24,0.0
14,0,0.0
14,1,0.0
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.0
14,6,0.0
14,7,210.0
14,8,210.0
14,9,208.0
14,10,0.0
14,11,0.0
14,12,204.0
14,13,208.0
14,14,0.0
14,15,0.0
14,16,208.0
14,17,204.0
14,18,0.0
14,19,0.0
14,20,0.0
14,21,0.0
14,22,0.0
14,23,0.0
14,24,0.0
15,0,0.0
15,1,0.0
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,0.0
15,9,0.0
15,10,192.0
15,11,191.0
15,12,186.0
15,13,192.0
15,14,188.0
15,15,191.0
15,16,0.0
15,17,190.0
15,18,190.0
15,19,0.0
15,20,0.0
15,21,0.0
15,22,0.0
15,23,0.0
15,24,0.0
16,0,0.0
16,1,0.0
16,2,0.0
16,3,0.0
16,4,0.0
16,5,196.0
16,6,194.0
16,7,193.0
16,8,192.0
16,9,189.0
16,10,188.0
16,11,189.0
16,12,190.0
16,13,188.0
16,14,188.0
16,15,187.0
16,16,0.0
16,17,189.0
16,18,192.0
16,19,194.0
16,20,194.0
16,21,0.0
16,22,0.0
16,23,0.0
16,24,0.0
17,0,0.0
17,1,0.0
17,2,0.0
17,3,0.0
17,4,0.0
17,5,196.0
17,6,192.0
17,7,190.0
17,8,191.0
17,9,191.0
17,10,187.0
17,11,188.0
17,12,190.0
17,13,190.0
17,14,187.0
17,15,188.0
17,16,194.0
17,17,190.0
17,18,190.0
17,19,191.0
17,20,193.0
17,21,0.0
17,22,0.0
17,23,0.0
17,24,0.0
18,0,0.0
18,1,0.0
18,2,0.0
18,3,0.0
18,4,0.0
18,5,0.0
18,6,194.0
18,7,193.0
18,8,195.0
18,9,191.0
18,10,188.0
18,11,188.0
18,12,193.0
18,13,192.0
18,14,189.0
18,15,189.0
18,16,190.0
18,17,188.0
18,18,189.0
18,19,187.0
18,20,0.0
18,21,0.0
18,22,0.0
18,23,0.0
18,24,0.0
19,0,0.0
19,1,0.0
19,2,0.0
19,3,0.0
